Name,Address,Mon,Tue,Wed,Thu,Fri,Sat,Sun
The Pink Door,"1919 Post Alley, Seattle, WA 98101","['Closed', '']","['Closed', '']","['11:30 AM - 3:30 PM, 5:00 PM - 10:00 PM', '']","['11:30 AM - 3:30 PM, 5:00 PM - 10:00 PM', '']","['11:30 AM - 3:30 PM, 5:00 PM - 10:00 PM', '']","['11:30 AM - 3:30 PM, 5:00 PM - 10:00 PM', '']","['11:30 AM - 3:30 PM, 5:00 PM - 10:00 PM', '']"
Nue,"1519 14th Ave, Seattle, WA 98122","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 11:00 PM', '']","['10:00 AM - 11:00 PM', '']","['10:00 AM - 10:00 PM', '']"
2120,"2120 6th Ave, Seattle, WA 98121","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']"
Biscuit Bitch,"1909 1st Ave, Seattle, WA 98101","['8:00 AM - 1:00 PM', '']","['8:00 AM - 1:00 PM', '']","['Closed', '']","['8:00 AM - 1:00 PM', '']","['8:00 AM - 1:00 PM', '']","['8:00 AM - 1:00 PM', '']","['8:00 AM - 1:00 PM', '']"
The Walrus and the Carpenter,"4743 Ballard Ave NW, Seattle, WA 98107","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']"
Witness,"410 Broadway E, Seattle, WA 98102","['4:00 PM - 1:00 AM (Next day)', '']","['4:00 PM - 1:00 AM (Next day)', '']","['4:00 PM - 1:00 AM (Next day)', '']","['4:00 PM - 1:00 AM (Next day)', '']","['4:00 PM - 2:00 AM (Next day)', '']","['9:00 AM - 2:00 PM', '']","['9:00 AM - 1:00 PM', '']"
Six Seven Restaurant,"2411 Alaskan Way, Pier 67, Seattle, WA 98121","['7:00 AM - 11:00 AM, 3:00 PM - 9:00 PM', '']","['7:00 AM - 11:00 AM, 3:00 PM - 9:00 PM', '']","['7:00 AM - 11:00 AM, 3:00 PM - 10:00 PM', '']","['7:00 AM - 11:00 AM, 3:00 PM - 10:00 PM', '']","['7:00 AM - 11:00 AM, 3:00 PM - 10:00 PM', '']","['7:00 AM - 11:00 AM, 3:00 PM - 10:00 PM', '']","['7:00 AM - 11:00 AM, 3:00 PM - 10:00 PM', '']"
List,"2226 1st Ave, Seattle, WA 98121","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']"
Tilikum Place Cafe,"407 Cedar St, Seattle, WA 98121","['Closed', '']","['Closed', '']","['Closed', '']","['5:00 PM - 8:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 8:00 PM', '']","['9:00 AM - 2:00 PM, 5:00 PM - 8:00 PM', '']","['9:00 AM - 2:00 PM', '']"
Elliott's Oyster House,"1201 Alaskan Way, Pier 56, Seattle, WA 98101","['3:00 PM - 9:00 PM', '']","['3:00 PM - 9:00 PM', '']","['3:00 PM - 9:00 PM', '']","['3:00 PM - 9:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
Toulouse Petit Kitchen & Lounge,"601 Queen Anne Ave N, Seattle, WA 98109","['10:00 AM - 12:00 AM (Next day)', '']","['10:00 AM - 12:00 AM (Next day)', '']","['10:00 AM - 12:00 AM (Next day)', '']","['10:00 AM - 12:00 AM (Next day)', '']","['10:00 AM - 12:00 AM (Next day)', '']","['9:00 AM - 12:00 AM (Next day)', '']","['9:00 AM - 12:00 AM (Next day)', '']"
Shaker + Spear,"2000 2nd Ave, Seattle, WA 98121","['Closed', '']","['Closed', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['Closed', 'Closed, special hours']",[],"['Normally,  , 5:00 PM - 9:00 PM']"
Purple Café and Wine Bar,"1225 4th Ave, Seattle, WA 98101","['Closed', '']","['Closed', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 9:00 PM', '']"
The White Swan Public House,"1001 Fairview Ave N, Seattle, WA 98109","['3:00 PM - 10:00 PM', '']","['3:00 PM - 10:00 PM', '']","['3:00 PM - 10:00 PM', '']","['3:00 PM - 10:00 PM', '']","['3:00 PM - 10:00 PM', '']","['10:00 AM - 10:00 PM', '']","['10:00 AM - 8:00 PM', '']"
Pike Place Chowder,"1530 Post Aly, Ste 11, Seattle, WA 98101","['11:00 AM - 5:00 PM', '']","['11:00 AM - 5:00 PM', '']","['11:00 AM - 5:00 PM', '']","['11:00 AM - 5:00 PM', '']","['11:00 AM - 5:00 PM', '']","['11:00 AM - 5:00 PM', '']","['11:00 AM - 5:00 PM', '']"
Ishoni Yakiniku,"611 Broadway E, Seattle, WA 98102","['Closed', '']","['Closed', '']","['5:30 PM - 9:30 PM', '']","['5:30 PM - 9:30 PM', '']","['5:30 PM - 11:00 PM', '']","['5:30 PM - 11:00 PM', '']","['5:30 PM - 9:30 PM', '']"
Damn the Weather,"116 1st Ave S, Seattle, WA 98104","['Closed', '']","['Closed', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 3:00 PM', '']"
Katsu-ya Seattle,"122 Westlake Ave N, Seattle, WA 98109","['Closed', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 10:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 10:00 PM', '']","['Closed', '']"
Kedai Makan,"1802 Bellevue Ave, Seattle, WA 98122","['Closed', '']","['Closed', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['Closed', '']"
Cascina Spinasse,"1531 14th Ave, Seattle, WA 98122","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']"
Radiator Whiskey,"94 Pike St, Ste 30, Seattle, WA 98101","['Closed', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['Closed', '']"
Serious Pie,"2001 4th Ave, Seattle, WA 98121","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']"
